project,cve,cwe,full_name,vul_version,vul_url,vul_zip,vul_markup_file,patch_version,patch_url,patch_zip,patch_markup_file
memos,CVE-2022-4813,CWE-1220,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4813_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4813_memos-v0.9.1.csv
memos,CVE-2022-4814,CWE-284,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4814_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4814_memos-v0.9.1.csv
memos,CVE-2022-4851,CWE-229,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4851_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4851_memos-v0.9.1.csv
memos,CVE-2022-4863,CWE-280,https:/github.com/usememos/memos,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4863_memos-v0.9.0.csv,memos-v0.9.1,https://github.com/usememos/memos/releases/tag/v0.9.1,https://github.com/usememos/memos/archive/refs/tags/v0.9.1.zip,memos_CVE-2022-4863_memos-v0.9.1.csv
memos,CVE-2022-4684,CWE-284,https:/github.com/usememos/memos,memos-v0.8.3,https://github.com/usememos/memos/releases/tag/v0.8.3,https://github.com/usememos/memos/archive/refs/tags/v0.8.3.zip,memos_CVE-2022-4684_memos-v0.8.3.csv,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4684_memos-v0.9.0.csv
memos,CVE-2022-4686,CWE-639,https:/github.com/usememos/memos,memos-v0.8.3,https://github.com/usememos/memos/releases/tag/v0.8.3,https://github.com/usememos/memos/archive/refs/tags/v0.8.3.zip,memos_CVE-2022-4686_memos-v0.8.3.csv,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4686_memos-v0.9.0.csv
memos,CVE-2022-4687,CWE-269,https:/github.com/usememos/memos,memos-v0.8.3,https://github.com/usememos/memos/releases/tag/v0.8.3,https://github.com/usememos/memos/archive/refs/tags/v0.8.3.zip,memos_CVE-2022-4687_memos-v0.8.3.csv,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4687_memos-v0.9.0.csv
memos,CVE-2022-4688,CWE-285,https:/github.com/usememos/memos,memos-v0.8.3,https://github.com/usememos/memos/releases/tag/v0.8.3,https://github.com/usememos/memos/archive/refs/tags/v0.8.3.zip,memos_CVE-2022-4688_memos-v0.8.3.csv,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4688_memos-v0.9.0.csv
memos,CVE-2022-4689,CWE-284,https:/github.com/usememos/memos,memos-v0.8.3,https://github.com/usememos/memos/releases/tag/v0.8.3,https://github.com/usememos/memos/archive/refs/tags/v0.8.3.zip,memos_CVE-2022-4689_memos-v0.8.3.csv,memos-v0.9.0,https://github.com/usememos/memos/releases/tag/v0.9.0,https://github.com/usememos/memos/archive/refs/tags/v0.9.0.zip,memos_CVE-2022-4689_memos-v0.9.0.csv
answer,CVE-2023-1537,CWE-294,https:/github.com/answerdev/answer,answer-v1.0.5,https://github.com/answerdev/answer/releases/tag/v1.0.5,https://github.com/answerdev/answer/archive/refs/tags/v1.0.5.zip,answer_CVE-2023-1537_answer-v1.0.5.csv,answer-v1.0.6,https://github.com/answerdev/answer/releases/tag/v1.0.6,https://github.com/answerdev/answer/archive/refs/tags/v1.0.6.zip,answer_CVE-2023-1537_answer-v1.0.6.csv
